Parameter Name,Schedule Names,Primary Schedule,Data Type,Type/Instance,Categories,Group,GUID,Description
ASS_DESIGN_LTG_LVL_LUX_NR,Room Data Schedule; Room Schedule,Room Data Schedule,NUMBER,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,bfacc484-130a-5d4f-ab93-6980d071f989,Ass Design Ltg Lvl Lux Nr [ISO 19650-3:2020]
ASS_DESIGN_OCCUPANCY_INT,Room Data Schedule; Room Schedule,Room Data Schedule,INTEGER,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,65769434-297a-58ea-b9af-7a885f365936,Ass Design Occupancy Int [ISO 19650-3:2020]
ASS_DISCIPLINE_COD_TXT,Asset Register,Asset Register,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,8c7dcfd7-f922-52d0-b859-81cae8d17dc0,Ass Discipline Cod Txt [ISO 19650-3:2020]
ASS_EQUIPMENT_TAG_TXT,Asset Register; Asset Schedule; Electrical Schedule; Equipment Schedule; Equipment Summary; Fire Fighting Schedule; Hvac Equipment; Maintenance Schedule; Mechanical Schedule; Plumbing Equipment; Water Heater Schedule,Asset Register,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,2cebbb9e-70f2-550a-8a85-80cb1aa550d7,Ass Equipment Tag Txt [ISO 19650-3:2020]
ASS_EXPECTED_LIFE_YEARS_YRS,Asset Register; Asset Schedule; Equipment Schedule; Maintenance Schedule; Mechanical Schedule,Asset Register,NUMBER,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,3bc7b880-b296-532f-9faf-8c41d69df5c3,Ass Expected Life Years Yrs [ISO 19650-3:2020]
ASS_ID_TXT,Accessibility Schedule; Acoustic Schedule; Air Terminal Schedule; Asset Register; Asset Schedule; Bms Controls Schedule; Bms Equipment; Ceiling Schedule; Concrete - Material Takeoff; Concrete Schedule; Cost Procurement Schedule; Cost Schedule; Data Equipment; Door Schedule; Doors Windows - Material Takeoff; Drainage Fittings; Drainage Schedule; Drainage System; Duct Schedule; Earthworks - Material Takeoff; Earthworks Schedule; Electrical - Material Takeoff; Electrical Schedule; Environmental Schedule; Equipment Schedule; Expansion Joint Schedule; Facade Schedule; Finish Schedule; Finishes - Material Takeoff; Fire Detection; Fire Fighting Schedule; Fire Protection Schedule; Fire Safety Schedule; Floor Roof Drains; Floor Schedule; Formwork - Material Takeoff; Formwork Schedule; Gasket Seal Schedule; Hot Water System; Hvac Equipment; Hvac Pipe Schedule; Insulation Schedule; Lighting Schedule; Maintenance Schedule; Masonry - Material Takeoff; Masonry Schedule; Mechanical Hvac - Material Takeoff; Mechanical Schedule; Pipe Fittings; Pipe Schedule; Plumbing - Material Takeoff; Plumbing Accessories; Plumbing Equipment; Plumbing Fixture Schedule; Procurement Schedule; Ramp Schedule; Reinforcement - Material Takeoff; Reinforcement Schedule; Roof Schedule; Room Schedule; Sprinkler Schedule; Stair Schedule; Strainer Filter Schedule; Structural Schedule; Supplier Schedule; Support Schedule; Sustainability Schedule; Terminal Schedule; Thermal Performance; Valve Schedule; Vent System; Wall Schedule; Water Heater Schedule; Window Schedule,Accessibility Schedule,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,8e35ebf9-4a16-5901-b566-4a5e0edd17aa,Ass Id Txt [ISO 19650-3:2020]
ASS_INST_DATE_TXT,Asset Register; Asset Schedule; Equipment Schedule; Fire Safety Schedule; Maintenance Schedule; Mechanical Schedule; Water Heater Schedule,Asset Register,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,0d021db7-c85a-5df7-82e3-6a2fd48eb619,Ass Inst Date Txt [ISO 19650-3:2020]
ASS_LOCAL_SERVICE_AVAILABLE_TXT,Asset Register; Asset Schedule; Maintenance Schedule,Asset Register,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,e90787eb-ec50-5876-82d9-0944cf6355ff,Ass Local Service Available Txt [ISO 19650-3:2020]
ASS_LOC_TXT,Accessibility Schedule; Acoustic Schedule; Air Terminal Schedule; Asset Register; Asset Schedule; Bms Controls Schedule; Bms Equipment; Concrete Schedule; Data Equipment; Door Schedule; Drainage Schedule; Earthworks Schedule; Electrical Schedule; Environmental Schedule; Equipment Schedule; Equipment Summary; Expansion Joint Schedule; Facade Schedule; Finish Schedule; Fire Detection; Fire Fighting Schedule; Fire Protection Schedule; Fire Safety Schedule; Floor Roof Drains; Formwork Schedule; Hot Water System; Hvac Equipment; Lighting Schedule; Maintenance Schedule; Masonry Schedule; Mechanical Schedule; Plumbing Accessories; Plumbing Equipment; Plumbing Fixture Schedule; Ramp Schedule; Reinforcement Schedule; Sprinkler Schedule; Stair Schedule; Structural Schedule; Support Schedule; Sustainability Schedule; Terminal Schedule; Valve Schedule; Water Heater Schedule; Window Schedule,Accessibility Schedule,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,b7469c27-c80e-5b59-b999-1a99ba620cd1,Ass Loc Txt [ISO 19650-3:2020]
ASS_LVL_COD_TXT,Asset Register; Ceiling Schedule; Door Schedule; Electrical Schedule; Equipment Schedule; Finish Schedule; Fire Safety Schedule; Floor Schedule; Formwork Schedule; Maintenance Schedule; Masonry Schedule; Mechanical Schedule; Plumbing Fixture Schedule; Ramp Schedule; Room Data Schedule; Room Schedule; Stair Schedule; Structural Schedule; Window Schedule,Asset Register,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,b1e51fab-fa88-50df-8b2f-bcdbe48e7c78,Ass Lvl Cod Txt [ISO 19650-3:2020]
ASS_MAINTENANCE_FREQUENCY_MONTHS,Asset Schedule; Maintenance Schedule,Asset Schedule,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,a52cf606-da2b-516a-9f18-e37000a4c329,Ass Maintenance Frequency Months [ISO 19650-3:2020]
ASS_MAINTENANCE_SCHEDULE_TXT,Asset Schedule; Maintenance Schedule,Asset Schedule,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,38145ae9-205a-58e1-9df7-4553b299dd32,Ass Maintenance Schedule Txt [ISO 19650-3:2020]
ASS_MANUFACTURER_TXT,Air Terminal Schedule; Asset Register; Asset Schedule; Bms Controls Schedule; Bms Equipment; Ceiling Schedule; Data Equipment; Door Schedule; Doors Windows - Material Takeoff; Drainage Fittings; Electrical - Material Takeoff; Electrical Schedule; Equipment Schedule; Equipment Summary; Expansion Joint Schedule; Facade Schedule; Finish Schedule; Fire Detection; Fire Fighting Schedule; Fire Safety Schedule; Floor Roof Drains; Gasket Seal Schedule; Hot Water System; Hvac Equipment; Insulation Schedule; Lighting Schedule; Mechanical Hvac - Material Takeoff; Mechanical Schedule; Pipe Fittings; Plumbing - Material Takeoff; Plumbing Accessories; Plumbing Equipment; Plumbing Fixture Schedule; Roof Schedule; Sprinkler Schedule; Strainer Filter Schedule; Support Schedule; Terminal Schedule; Valve Schedule; Water Heater Schedule; Window Schedule,Air Terminal Schedule,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,822bb665-a508-5268-b490-28d8546d6300,Ass Manufacturer Txt [ISO 19650-3:2020]
ASS_MNG_SPARE_01_TXT,,,TEXT,Type,"Air Terminals, Cable Trays, Casework, Electrical Equipment, Electrical Fixtures, Furniture, Generic Models, Lighting Fixtures, Mechanical Equipment, Plumbing Equipment, Plumbing Fixtures, Specialty Equipment, Sprinklers, Conduits",ASS_MNG,1ddff9a8-6e66-4a93-88fe-f3b94fbd5710,Spare parameter 1 for ASS_MNG group
ASS_MNG_SPARE_02_TXT,,,TEXT,Type,"Air Terminals, Cable Trays, Casework, Electrical Equipment, Electrical Fixtures, Furniture, Generic Models, Lighting Fixtures, Mechanical Equipment, Plumbing Equipment, Plumbing Fixtures, Specialty Equipment, Sprinklers, Conduits",ASS_MNG,bbe1cd55-247b-48bd-94ba-a08031f06d5b,Spare parameter 2 for ASS_MNG group
ASS_MODEL_NR_TXT,Air Terminal Schedule; Ass_Department_Assignment_Txt; Asset Register; Asset Schedule; Bms Controls Schedule; Bms Equipment; Data Equipment; Door Schedule; Electrical - Material Takeoff; Electrical Schedule; Equipment Schedule; Facade Schedule; Fire Detection; Fire Fighting Schedule; Fire Safety Schedule; Hot Water System; Hvac Equipment; Lighting Schedule; Mechanical Hvac - Material Takeoff; Mechanical Schedule; Plumbing - Material Takeoff; Plumbing Equipment; Plumbing Fixture Schedule; Sprinkler Schedule; Terminal Schedule; Valve Schedule; Water Heater Schedule; Window Schedule,Air Terminal Schedule,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,305de400-5d2f-54f6-a4ed-acc93f5a1ab2,Ass Model Nr Txt [ISO 19650-3:2020]
ASS_NUMBER_OF_DAT_OUTLETS_INT,Room Data Schedule; Room Schedule,Room Data Schedule,INTEGER,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,a9b92515-9881-5af2-85cd-41329358b0e3,Ass Number Of Dat Outlets Int [ISO 19650-3:2020]
ASS_NUMBER_OF_PWR_OUTLETS_INT,Room Data Schedule; Room Schedule,Room Data Schedule,INTEGER,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,1d7facf3-c592-50d1-b90a-ea5adadcfccc,Ass Number Of Pwr Outlets Int [ISO 19650-3:2020]
ASS_OANDM_MANUALS_PROVIDED_TXT,Asset Register; Asset Schedule; Maintenance Schedule,Asset Register,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,04a5a31c-d4e2-59fc-a4f8-8a6b15ec895f,Ass Oandm Manuals Provided Txt [ISO 19650-3:2020]
ASS_PART_NUMBER_TXT,Asset Register; Asset Schedule,Asset Register,TEXT,Type,"Air Terminals, Cable Tray Fittings, Cable Trays, Casework, Communication Devices, Conduit Fittings, Conduits, Data Devices, Duct Accessories, Duct Fittings, Ducts, Electrical Equipment, Electrical Fixtures, Fire Alarm Devices, Flex Ducts, Flex Pipes, Furniture, Furniture Systems, Generic Models, Lighting Devices, Lighting Fixtures, Mechanical Equipment, Nurse Call Devices, Parking, Pipe Accessories, Pipe Fittings, Pipes, Planting, Plumbing Equipment, Plumbing Fixtures, Security Devices, Site, Specialty Equipment, Sprinklers, Telephone Devices",ASS_MNG,54ea24c5-d286-5eb3-85f3-2855dd4b8a9b,Ass Part Number Txt [ISO 19650-3:2020]
