scheduleName,categoryId,fields,Filters,Sorting,Formulas,Header_Color,Text_Color,Background_Color
Ceiling Schedule,Ceilings,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_ROOM_NUMBER_TXT, BLE_CEILING_TYPE_CLASSIFICATION_TXT, BLE_CEILING_SYSTEM_TXT, BLE_CEILING_MAT_TXT, BLE_CEILING_HEIGHT_MM, BLE_CEILING_PLENUM_HEIGHT_MM, BLE_CEILING_GRID_SZ_MM, BLE_CEILING_FINISH_TXT, BLE_CEILING_LIGHT_REFLECTANCE_PCT, BLE_CEILING_NOISE_REDCTION_COEFFICIENT_NRC_NR, BLE_CEILING_ACCESS_PNLS_INCLUDED_TXT, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN",,,"ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark, BLE_CEILING_HEIGHT_MM=Height Offset From Level, BLE_ROOM_NUMBER_TXT=Number, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN=Fire Rating",#0066CC,#000000,
Roof Schedule,Roofs,"ASS_ID_TXT, ASS_TAG_1_TXT, BLE_ROOF_TYPE_TXT, BLE_ROOF_STRUCTURE_TYPE_TXT, BLE_ROOF_COVERING_MAT_TXT, BLE_ROOF_SLOPE_DEG, BLE_ROOF_CLR_TXT, BLE_ROOF_INS_R_VALUE_M_2K_W, BLE_ROOF_WATERPROOFING_SYSTEM_TXT, BLE_ROOF_OVERHANG_MM, BLE_ROOF_SOLAR_REFLECTANCE_INDEX_NR, BLE_ROOF_PLM_DRN_SYSTEM_TYPE_TXT, BLE_ROOF_GUTTER_SZ_MM, BLE_ROOF_DOWNPPE_SZ_MM, BLE_ROOF_RAINWTR_HARVESTING_INTEGRATION_BOOL",,,"ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark, BLE_ROOF_SLOPE_DEG=Slope",#0066CC,#000000,
Electrical Schedule,Electrical Equipment,"ASS_ID_TXT, ASS_EQUIPMENT_TAG_TXT, ELC_EQUIPMENT_TYPE_TXT, ASS_LOC_TXT, ASS_LVL_COD_TXT, ELC_PNL_DESIGNATION_NAME_TXT, ELC_PNL_FED_FROM_PNL_TXT, ELC_PNL_VLT_V, ELC_PNL_PHS_COUNT_NR, ELC_PNL_MAIN_BRK_A, ELC_PNL_NUM_OF_WAYS_NR, ELC_SPARE_WAYS_NR, ELC_PNL_CONNECTED_LOAD_KW, ELC_PNL_IP_RATING_TXT, ELC_PNL_SHORT_CIRCUIT_RATING_KA, ELC_DIV_FCT_NR, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT",,,"ASS_EQUIPMENT_TAG_TXT=Mark, ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ELC_PNL_CONNECTED_LOAD_KW=Total Connected Load, ELC_PNL_DESIGNATION_NAME_TXT=Panel Name, ELC_PNL_FED_FROM_PNL_TXT=Feed From Panel, ELC_PNL_IP_RATING_TXT=Type Name, ELC_PNL_PHS_COUNT_NR=Number of Poles, ELC_PNL_VLT_V=Voltage",#FF6600,#000000,
Circuit Schedule,Electrical Circuits,"ELC_CKT_NR, ELC_CKT_IDENTIFICATION_TXT, ELC_CKT_FINAL_TXT, ELC_PNL_CKT_SOURCE_NAME_TXT, ELC_CKT_VLT_V, ELC_CKT_PHASE_COUNT_NR, ELC_CKT_PWR_KW, ELC_CKT_CUR_A, ELC_CKT_BRK_RATING_A, ELC_CKT_CBL_TYPE_TXT, ELC_CKT_CBL_SZ_MM, ELC_CKT_LENGTH_M, ELC_VLT_DROP_PCT, ELC_PWR_CIR_LOAD_TYPE_TXT",,,"ELC_CKT_CUR_A=Apparent Current, ELC_CKT_NR=Circuit Number, ELC_CKT_PHASE_COUNT_NR=Number of Poles, ELC_CKT_PWR_KW=Apparent Load, ELC_CKT_VLT_V=Voltage, ELC_PNL_CKT_SOURCE_NAME_TXT=Panel Name",#FF6600,#000000,
Cable Schedule,Conduits,"ELC_CBL_NR_TXT, ELC_CBL_TYPE_TXT, ELC_CBL_SOURCE_FROM_TXT, ELC_CBL_DESTINATION_TO_TXT, ELC_CBL_SZ_MM, ELC_CBL_NUM_OF_CORES_NR, ELC_CBL_SZ_PER_CORE_MM, ELC_CBL_COND_SZ_SQ_MM, ELC_CBL_INS_TYPE_TXT, ELC_CBL_LENGTH_M, ELC_CBL_AMPACITY_A, ELC_CBL_DERATING_FCT_NR, ELC_CBL_INSTALL_METHOD_TXT",,,ELC_CBL_LENGTH_M=Length,#FF6600,#000000,
Lighting Schedule,Lighting Fixtures,"ASS_ID_TXT, ASS_TAG_1_TXT, LTG_FIX_TYPE_CLASSIFICATION_TXT, ASS_LOC_TXT, BLE_ROOM_NUMBER_TXT, LTG_CKT_NR_TXT, LTG_FIX_LMP_WATTAGE_W, CST_FIX_LUMEN_OUTPUT_LM, LTG_CLR_TEMP_K, LTG_CLR_RENDERING_INDEX_NR, LTG_EFFICACY_LM_W, LTG_MNT_TYPE_TXT, LTG_MNT_HGT_MM, LTG_CTRL_TYPE_TXT, LTG_EMRG_TYPE_TXT, ELC_IP_RATING_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_TAG_1_TXT=Type Mark, BLE_ROOM_NUMBER_TXT=Number, CST_FIX_LUMEN_OUTPUT_LM=Initial Intensity, ELC_IP_RATING_TXT=Type Name, LTG_CKT_NR_TXT=Circuit Number, LTG_FIX_LMP_WATTAGE_W=Wattage",#FF6600,#000000,
Mechanical Schedule,Mechanical Equipment,"ASS_ID_TXT, ASS_EQUIPMENT_TAG_TXT, HVC_TYPE_TXT, ASS_LOC_TXT, ASS_LVL_COD_TXT, HVC_CAP_KW, HVC_CAP_TR, HVC_PWR_KW, HVC_VLT_V, HVC_EFF_RATIO_NR, HVC_REFRIGERANT_TXT, HVC_CONTROL_TYPE_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, ASS_SERIAL_NR_TXT, ASS_INST_DATE_TXT, ASS_EXPECTED_LIFE_YEARS_YRS",,,"ASS_EQUIPMENT_TAG_TXT=Mark, ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_SERIAL_NR_TXT=Serial Number, HVC_CAP_KW=Cooling Capacity, HVC_CAP_TR=Cooling Capacity",#00CC66,#000000,
Duct Schedule,Ducts,"ASS_ID_TXT, ASS_TAG_1_TXT, HVC_DCT_PROPERTY_TXT, HVC_DUCT_CLASS_TXT, HVC_DCT_TERMINAL_TYPE_SD_RG_EG_VAV_TXT, HVC_DCT_TERMINAL_SZ_TXT, HVC_DCT_EQUIVALENT_DIAMETER_IN, HVC_DUCT_AREA_SQ_M, HVC_DUCT_FLOWRATE_M3H, HVC_DCT_FLW_CFM, HVC_VEL_MPS, HVC_DCT_MAT_TXT, HVC_DUCT_LINING_TXT, HVC_DCT_SOUNDLVL_DB, HVC_TERMINAL_DAMPER_TXT",,,"ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark, HVC_DCT_FLW_CFM=Flow, HVC_DUCT_FLOWRATE_M3H=Flow, HVC_VEL_MPS=Velocity",#00CC66,#000000,
Air Terminal Schedule,Air Terminals,"ASS_ID_TXT, ASS_TAG_1_TXT, HVC_DCT_TERMINAL_TYPE_SD_RG_EG_VAV_TXT, ASS_LOC_TXT, BLE_ROOM_NUMBER_TXT, HVC_DCT_TERMINAL_SZ_TXT, HVC_DCT_FLW_CFM, HVC_VEL_MPS, HVC_DCT_SOUNDLVL_DB, HVC_TERMINAL_MAT_TXT, HVC_TERMINAL_FINISH_TXT, HVC_TERMINAL_PATTERN_TXT, HVC_TERMINAL_DAMPER_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_TAG_1_TXT=Type Mark, BLE_ROOM_NUMBER_TXT=Number, HVC_DCT_FLW_CFM=Flow, HVC_VEL_MPS=Velocity",#00CC66,#000000,
Plumbing Fixture Schedule,Plumbing Fixtures,"ASS_ID_TXT, ASS_TAG_1_TXT, PLM_TYPE_TXT, ASS_LOC_TXT, BLE_ROOM_NUMBER_TXT, ASS_LVL_COD_TXT, PLM_PPE_MAT_TXT, PLM_PPE_SZ_MM, PLM_PPE_FLW_LPS, PLM_PSR_KPA, PLM_HED_M, PLM_VEL_MPS, PLM_PPE_INS_TYPE_TXT, PLM_PPE_INS_THK_MM, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_TAG_1_TXT=Type Mark, BLE_ROOM_NUMBER_TXT=Number, PLM_PPE_SZ_MM=Size",#3399FF,#000000,
Pipe Schedule,Pipes,"ASS_ID_TXT, ASS_TAG_1_TXT, PLM_PPE_PROPERTY_TXT, PLM_PPE_MAT_TXT, PLM_PPE_NOMINAL_SZ_INCH_NR, PLM_PPE_SZ_MM, PLM_PPE_LENGTH_M, PLM_PPE_FLW_LPS, PLM_VEL_MPS, PLM_PPE_PSR_RATING_BAR, PLM_PPE_JOINT_TYPE_TXT, PLM_PPE_INS_TYPE_TXT, PLM_PPE_INS_THK_MM, PLM_INS_K_VALUE, PLM_INS_SPECIFICATION_TXT",,,"ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark, PLM_PPE_LENGTH_M=Length, PLM_PPE_NOMINAL_SZ_INCH_NR=Nominal Diameter, PLM_PPE_SZ_MM=Size",#3399FF,#000000,
Drainage Schedule,Pipes,"ASS_ID_TXT, ASS_TAG_1_TXT, PLM_DRN_BODY_MAT_TXT, ASS_LOC_TXT, PLM_DRN_FLW_RATE_LPS, PLM_DRN_VEL_MPS, PLM_DRN_PPE_LENGTH_M, PLM_DRN_PPE_SLOPE_PCT, PLM_DRN_FILL_RATIO_NR, PLM_DRN_TRAP_TYPE_TXT, PLM_DRN_TRAP_SEAL_DEPTH_MM, PLM_DRN_GRT_TYPE_TXT, PLM_DRN_GRT_MAT_TXT, PLM_DRN_TOP_TYPE_TXT, PLM_DRN_ACCESS_POINTS_TXT, PLM_DRN_CLEANOUT_LOCS_TXT, PLM_DRN_BKWTR_VALVE_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_TAG_1_TXT=Type Mark",#3399FF,#000000,
Valve Schedule,Pipe Accessories,"ASS_ID_TXT, ASS_TAG_1_TXT, PLM_VLV_BODY_MAT_TXT, ASS_LOC_TXT, PLM_PPE_SZ_MM, PLM_VLV_PSR_CLASS_TXT, PLM_VLV_END_CONNECTION_TXT, PLM_VLV_ACTUATION_TYPE_TXT, PLM_VLV_OPERATOR_TYPE_TXT, PLM_VLV_CV_NR, PLM_VLV_CV_VALUE_NR, PLM_VLV_TRIM_MAT_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_TAG_1_TXT=Type Mark, PLM_PPE_SZ_MM=Size, PLM_VLV_BODY_MAT_TXT=Type Name",#3399FF,#000000,
Water Heater Schedule,Plumbing Fixtures,"ASS_ID_TXT, ASS_EQUIPMENT_TAG_TXT, PLM_HOTWTR_FUEL_TYPE_TXT, ASS_LOC_TXT, PLM_HOTWTR_STORAGE_CAP_GAL_NR, PLM_HOTWTR_INPUT_PWR_KW, PLM_HOTWTR_HEATER_EFF_PCT, PLM_HOTWTR_RECOVERY_RATE_GPH, PLM_HOTWTR_TEMP_C, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, ASS_SERIAL_NR_TXT, ASS_INST_DATE_TXT, ASS_WARRANTY_PERIOD_TXT",,,"ASS_EQUIPMENT_TAG_TXT=Mark, ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_SERIAL_NR_TXT=Serial Number",#3399FF,#000000,
Fire Safety Schedule,Fire Alarm Devices,"ASS_ID_TXT, ASS_TAG_1_TXT, FLS_SFTY_DEV_TYPE_TXT, ASS_LOC_TXT, BLE_ROOM_NUMBER_TXT, ASS_LVL_COD_TXT, FLS_SFTY_DEV_ZONE_TXT, FLS_SFTY_DEV_LOOP_TXT, FLS_SFTY_DEV_ADDRESS_TXT, FLS_SFTY_DEV_DETECTOR_SENSITIVITY_TXT, FLS_SFTY_COVERAGE_AREA_SQ_M, FLS_SFTY_TEMP_RATING_C, FLS_SFTY_FLW_RATE_LPM_NR, FLS_PROT_SPRINKLER_HED_TYPE_TXT, FLS_SFTY_SEC_EXIT_SIGNAGE_BOOL, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT, ASS_INST_DATE_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_LVL_COD_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_TAG_1_TXT=Type Mark, BLE_ROOM_NUMBER_TXT=Number",#FF0000,#000000,
Fire Protection Schedule,Sprinklers,"ASS_ID_TXT, ASS_TAG_1_TXT, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN, ASS_LOC_TXT, FLS_PROT_FLS_ESCAPE_STAIR_TXT, FLS_PROT_CORROSION_PROT_LVL_NR, FLS_PROT_SPRINKLER_HED_TYPE_TXT, PROP_FIRE_RATING, RGL_QA_CERTIFICATION_TXT, RGL_QA_TST_REPORT_REF_TXT, RGL_QA_COMMISSIONING_REQ_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_TAG_1_TXT=Type Mark, FLS_PROT_FLS_RESISTANCE_RATING_MINUTES_MIN=Fire Rating",#00CC66,#000000,
Bms Controls Schedule,Mechanical Equipment,"ASS_ID_TXT, ASS_TAG_1_TXT, COM_C_DEV_TYPE_TXT, COM_C_DEV_CONTROLLER_NAME_TXT, ASS_LOC_TXT, COM_C_NETWORK_ADDRESS_TXT, COM_C_DEV_BACNET_INSTANCE_INT, COM_C_PROTOCOL_TXT, COM_C_PWR_SUPPLY_V, COM_C_MEASUREMENT_RANGE_TXT, COM_BMS_RANGE_TXT, COM_CBL_TYPE_TXT, ASS_MANUFACTURER_TXT, ASS_MODEL_NR_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_MANUFACTURER_TXT=Manufacturer, ASS_MODEL_NR_TXT=Model, ASS_TAG_1_TXT=Type Mark",#00CC66,#000000,
Accessibility Schedule,Rooms,"ASS_ID_TXT, ASS_TAG_1_TXT, ASS_LOC_TXT, BLE_ROOM_NUMBER_TXT, RGL_ACCESS_CMPL_STD_TXT, RGL_ACCESS_CLEAR_WIDTH_MM, RGL_ACCESS_TURNING_RADIUS_MM, RGL_ACCESS_THRESHOLD_HEIGHT_MM, RGL_ACCESS_TACTILE_WARNING_TXT, RGL_ACCESS_BRAILLE_SIGNAGE_BOOL, RGL_ACCESS_HEARING_LOOP_BOOL, RGL_ACCESS_REFUGE_AREA_TXT, BLE_RAMP_SLOPE_PCT, BLE_RAMP_WIDTH_MM, BLE_RAMP_HANDRAIL_BOTH_SIDES_TXT, BLE_RAMP_SURFACE_FINISH_TXT",,,"ASS_ID_TXT=Mark, ASS_LOC_TXT=Level, ASS_TAG_1_TXT=Type Mark, BLE_RAMP_SLOPE_PCT=Slope, BLE_RAMP_WIDTH_MM=Width, BLE_ROOM_NUMBER_TXT=Number",#0066CC,#000000,
Cost Procurement Schedule,Generic Models,"ASS_ID_TXT, ASS_TAG_1_TXT, ASS_DESCRIPTION_TXT, ASS_CST_QUANTITY_NR, ASS_PMT_INV_UNIT_TXT, ASS_CST_UNIT_PRICE_UGX_NR, ASS_CST_TOTAL_UGX_NR, ASS_PMT_CST_MAT_CST_UGX_NR, ASS_PMT_CST_LABOUR_CST_UGX_NR, ASS_PMT_CST_TOTAL_CST_UGX_NR, ASS_CST_INSTALL_UGX_NR, ASS_CST_ANNUAL_MAINTENANCE_UGX_NR, ASS_CST_LIFECYCLE_UGX_NR, ASS_PMT_PRO_SUPPLIER_TXT, ASS_PMT_PRO_PO_NR_TXT, ASS_PMT_QTY_ORDERED_NR, ASS_PMT_PRO_DELIVERY_DATE_TXT, CST_DELIVERY_LEAD_TIME_DAYS, CST_LOCAL_MAT_BOOL",,,"ASS_CST_QUANTITY_NR=Count, ASS_CST_UNIT_PRICE_UGX_NR=Cost, ASS_DESCRIPTION_TXT=Description, ASS_ID_TXT=Mark, ASS_TAG_1_TXT=Type Mark",#808080,#000000,
