FamilyCategory,PlacementRule,RequiredHost,PreferredLocation,MinimumClearance_MM,PlacementConstraint,ValidationRule,Notes
Grille,Ceiling-hosted,Ceiling,Ceiling grid,600,Return air,Ceiling_Type == Suspended,Return grille
Pipe_Water,Route-based,None,Walls/floors,100,Plumbing routing,No_Conflicts == True,Water pipe routing
Pipe_Drain,Route-based,None,Floors/walls,150,Drainage slope,Slope >= 0.5,Drainage gradient
Pipe_Gas,Route-based,None,Exterior wall,200,Gas line,In_Ventilated_Space == True,Gas pipe safety
Panel_Main,Wall-hosted,Wall,Service entrance,1000,Electrical service,Near_Service_Entry == True,Main panel location
Panel_Sub,Wall-hosted,Wall,Distribution point,900,Circuit distribution,Accessible == True,Subpanel location
Light_Recessed,Ceiling-hosted,Ceiling,Lighting grid,600,Concealed,Plenum_Depth >= Light_Depth + 50,Recessed can depth
Light_Pendant,Ceiling-hosted,Ceiling,Feature location,2100,Suspended,Height_Above_Floor >= 2100,Pendant clearance
Light_Surface,Ceiling-hosted,Ceiling,General lighting,0,Surface mount,Ceiling_Accessible == True,Surface fixture
Light_Track,Ceiling-hosted,Ceiling,Accent lighting,0,Track system,Ceiling_Type == Solid,Track mounting
Switch,Wall-hosted,Wall,Entry point,1200,Accessible,Height_Above_Floor == 1200,Switch height
Outlet,Wall-hosted,Wall,Along walls,300,Power access,Height_Above_Floor == 300,Outlet height
Conduit,Route-based,None,Walls/ceilings,50,Electrical routing,No_Conflicts == True,Conduit path
Cable_Tray,Route-based,None,Ceiling,300,Cable management,In_Accessible_Space == True,Tray routing
Bed,Floor-based,Floor,Bedroom,600,Furniture,Room_Type == Bedroom,Bed in bedroom
Sofa,Floor-based,Floor,Living area,600,Furniture,Room_Type IN (LivingRoom;FamilyRoom),Seating area
Chair,Floor-based,Floor,Any room,450,Furniture,Floor_Clear == True,Chair placement
Table_Dining,Floor-based,Floor,Dining area,900,Furniture,Room_Type == DiningRoom OR Room_Type == Kitchen,Dining table
Table_Coffee,Floor-based,Floor,Living area,600,Furniture,Room_Type == LivingRoom,Coffee table
Desk,Floor-based,Floor,Office/bedroom,700,Furniture,Room_Type IN (Office;Bedroom),Work surface
Wardrobe,Floor-based,Floor,Bedroom,600,Storage,Room_Type == Bedroom AND Against_Wall == True,Wardrobe location
Bookshelf,Floor-based,Floor,Any room,300,Storage,Against_Wall == True,Shelf against wall
Refrigerator,Floor-based,Floor,Kitchen,900,Appliance,Room_Type == Kitchen AND Power_Nearby == True,Fridge placement
Stove,Floor-based,Floor,Kitchen,900,Appliance,Room_Type == Kitchen AND Gas_Or_Power_Available == True,Stove location
Dishwasher,Cabinet-hosted,Cabinet,Kitchen,600,Appliance,Near_Sink == True AND Power_Available == True,Dishwasher near sink
Washer,Floor-based,Floor,Laundry,700,Appliance,Room_Type == LaundryRoom AND Plumbing_Available == True,Washer placement
Dryer,Floor-based,Floor,Laundry,700,Appliance,Room_Type == LaundryRoom AND Vent_Available == True,Dryer venting
Guard_Rail,Line-based,Edge,Balcony/stairs,0,Safety barrier,Height >= 1070,Fall protection
Handrail,Line-based,Stairs/ramps,Along path,900,Accessibility,Continuous == True,Handrail continuity
Sprinkler,Ceiling-hosted,Ceiling,Fire protection,2100,Fire safety,Coverage_Adequate == True,Sprinkler coverage
Smoke_Detector,Ceiling-hosted,Ceiling,Life safety,0,Fire alarm,Code_Compliant_Location == True,Detector placement
Fire_Extinguisher,Wall-hosted,Wall,Accessible,1200,Fire safety,Height_To_Top <= 1200,Extinguisher height
Exit_Sign,Wall-hosted,Wall/Door,Egress path,2100,Life safety,Above_Exit == True,Exit signage
Emergency_Light,Ceiling-hosted,Ceiling,Egress path,2400,Life safety,Illuminates_Exit == True,Emergency lighting
