LessonId,ProjectId,LessonTitle,Category,ProblemStatement,RootCause,ActionTaken,Outcome,CostImpact,ApplicableTo,RelatedCode,RelatedMaterial,RelatedFormula,RelatedAssembly,AIIntentTriggered,Transferability
LL-011,CS-RES-004,SIPs Spline Joints Are the Thermal Bridge Weak Point,Envelope,Infrared survey showed 0.4 W/m²K heat loss along every SIPs panel joint,Timber splines used at panel joints conducted heat straight through R-36 wall,Replaced timber splines with closed-cell foam splines; verified U-value via FL-UVALUE,Heat loss at joints reduced to 0.08 W/m²K; envelope U-value met 0.12 target,Neutral,Residential|High-Performance|Net-Zero|SIPs,FL-ASHRAE-90.1-D,,FL-UVALUE,ASSY-EXT-004,CREATE_WALL|MODIFY_INSULATION|QUERY_R_VALUE,High
LL-012,CS-RES-005,Pile Depth Must Exceed Scour Depth by 50%,Structural,Piles driven to 1.2m were exposed by storm scour; structure shifted,Pile length set from static bearing only; no scour allowance,Re-drove piles to 1.8m embedment using CD-FND-ANCHOR-EMBED formula,Structure stable through subsequent Category-3 event,Added-14%,Residential|Coastal|Hurricane|Flood-Zone,DR-IBC-007,,CD-FND-ANCHOR-EMBED,,CREATE_FOUNDATION|QUERY_CAPACITY,High
LL-013,CS-RES-005,Impact-Rated Glazing Must Be Specified Before Shell,Envelope,Standard glazing ordered; impact-rated lead time was 12 weeks,Glazing spec not flagged to procurement until window installation week,Added impact-rated glazing to spec at design development; ordered 14 weeks ahead,No schedule delay; Cat-5 glazing installed on time,Neutral,Residential|Commercial|Coastal|Hurricane,DR-IBC-014,,,,CREATE_WINDOW_TYPED|MODIFY_WINDOW_GLAZING,Medium
LL-014,CS-RES-005,Marine-Grade Coating on All Steel in Salt-Air Zone,Connection,Uncoated anchor bolts showed visible corrosion after 6 months,Standard zinc plating specified; marine-grade coating not in spec,All steel components coated with marine-grade epoxy + polyurethane topcoat,Zero corrosion at 24-month inspection; coating life estimated 25 years,Added-7%,Residential|Commercial|Coastal|Marine,STL-AISC-J3.1,CON-STL-001,,,CREATE_CONNECTION|MODIFY_MATERIAL,High
LL-015,CS-RES-006,Internal Insulation on Historic Timber Must Breathe,Envelope,Foil-faced insulation trapped moisture; black mould appeared in 8 months,Vapour-impermeable foil used on cold side of timber frame,Replaced with vapour-permeable PIR boards; added moisture-check sensor,RH dropped to 55%; zero mould after 18 months,Neutral,Residential|Conversion|Historic|Timber,FL-ASHRAE-90.1-C,,FL-RVALUE,,MODIFY_INSULATION|MODIFY_MATERIAL,High
LL-016,CS-RES-006,Skylight Step-Flashing Detail Must Match Roof Slope,Flashing,Water pooled around new skylight after first rain; dormer leaking,Skylight flashing set to generic 6:12 detail; actual roof was 7:12,Re-made step flashing to match 7:12 slope using CD-FL-STEP-QTY calculation,Zero leaks at 12-month inspection,Added-3%,Residential|Commercial|Any-Skylight,,CON-FL-001,CD-FL-STEP-QTY,,CREATE_FLASHING|CREATE_SKYLIGHT,High
LL-017,CS-RES-007,Hold-Down Spacing Must Match Shear-Panel Nail Schedule,Connection,Two hold-downs omitted at re-entrant corners; shear wall failed in shake test,Hold-down locations taken from generic drawing; re-entrant corners overlooked,Added HD15 at every re-entrant corner; verified spacing via CD-WOD-HD-UPLIFT,Shake-table test passed at full design base-shear,Added-3%,Residential|Seismic|Commercial,WOD-NDS-12.3.3|WOD-NDS-12.3.4,CON-WOD-010,CD-WOD-HD-UPLIFT,,CREATE_CONNECTION|QUERY_CAPACITY,High
LL-018,CS-RES-007,Plywood Shear Panels Need Specific Nail Size and Spacing,Connection,8d common nails at 6-inch spacing used; code required 8d at 4-inch for shear capacity,Framing crew used standard 6-inch spacing from memory,Added nail-schedule sign to each shear wall panel; inspector verified before sheathing,Shear-panel capacity verified at 100% of design drift,Neutral,Residential|Seismic|Any-Shear-Wall,WOD-NDS-12.3.1,CON-WOD-007,,,CREATE_SHEAR_WALL|CREATE_WALL,High
LL-019,CS-RES-008,Crack Injection Must Precede Membrane Application,Waterproofing,Liquid membrane bridged over 3mm crack; re-leaked within 4 months,Membrane applied directly over existing cracks without injection,All cracks >1mm injected with polyurethane foam; membrane applied after 48hr cure,Zero re-penetration at 18-month inspection,Saved-25%,Residential|Commercial|Any-Basement|Retrofit,,CON-WP-001,CD-WP-DRY-FILM,,CREATE_WATERPROOFING|MODIFY_MATERIAL,High
LL-020,CS-RES-008,Dimple Mat Drainage Board Protects Membrane During Backfill,Waterproofing,Direct backfill crushed membrane in two locations; required excavation and repair,Drain board omitted from spec; backfill placed directly on membrane,HDPE dimple mat installed over full membrane area before any backfill,Membrane undamaged at excavation spot-check; no repair needed,Saved-18%,Residential|Commercial|Any-Below-Grade,,CON-WP-005,CD-WP-SHEETS-QTY,,CREATE_WATERPROOFING|MODIFY_MATERIAL,High
LL-021,CS-RES-008,Interior French Drain Sized for Peak Hydrostatic Inflow,Plumbing,Perimeter drain pipe undersized; flooded during 100-year rain event,Drain sized for average flow; peak-storm infiltration not calculated,Re-sized to 100mm pipe at 1% slope; added sump with 1 HP pump,System handled 3x design storm with margin; no flooding,Added-10%,Residential|Any-Basement|Retrofit,PL-IPC-712.1,,PL-PIPE-DWV,,CREATE_PIPE|QUERY_PIPE_SIZE,High
LL-022,CS-RES-009,Triple-Seal Window Installation Is the Weakest Airtight Point,Envelope,Airtight test failed at every window reveal; total leakage 2.1 ACH50,Window reveal sealed with single bead of silicone; no compression gasket,Applied triple seal: compression gasket + butyl tape + silicone bead at every reveal,Window-reveal leakage dropped to zero at blower-door; overall 0.55 ACH50,Neutral,Residential|Passive-House|High-Performance,FL-ASHRAE-90.1-C,,FL-RVALUE,ASSY-EXT-005,CREATE_WINDOW|MODIFY_WINDOW_GLAZING|QUERY_R_VALUE,High
LL-023,CS-RES-009,Green-Roof Ballast Load Must Be Checked Against Slab Capacity,Structural,200mm growing-medium ballast exceeded slab design load by 0.4 kN/m²,Roof-garden spec chosen after structural slab was already designed,Reduced substrate to 150mm extensive; checked capacity via CD-STL-BP-AREA analogy,Slab utilisation at 92%; green roof installed within load limit,Saved-8%,Residential|Commercial|Any-Green-Roof,DR-IBC-007,,CD-STL-BP-AREA,,CREATE_ROOF|QUERY_CAPACITY,Medium
LL-024,CS-RES-010,Existing 6x6 Rafters Cannot Carry R-30 Insulation Depth,Structural,R-30 batt insulation required 8-inch cavity; existing 6x6 rafters only 5.5 inches,Insulation spec written before existing rafter size was surveyed,New 2x10 rafters installed at 400mm spacing over existing; insulation fits,R-30 achieved; structural survey sign-off at 100% of new rafter capacity,Added-18%,Residential|Conversion|Retrofit|Loft,FL-ASHRAE-90.1-C,,FL-RVALUE,,CREATE_BEAM|MODIFY_INSULATION,Medium
LL-025,CS-RES-010,Dormer Egress Window Must Be 1.8 m² Minimum,Code-Compliance,First dormer window was 1.4 m²; building control rejected for insufficient egress,Window size taken from architectural sketch without code check,Dormer resized to 1.8 m² opening; code compliance confirmed at design stage,Building control sign-off without revision,Saved-12%,Residential|Conversion|Loft|Bedroom,DR-IBC-010,,,,CREATE_WINDOW_TYPED|QUERY_CODE_COMPLIANCE,High
LL-026,CS-RES-011,Earth-Tube Inlet Must Be Below Frost Line Year-Round,MEP,Earth-tube pre-cooler inlet froze in January; fan stalled,Inlet buried at 0.8m; local frost depth is 1.2m,Relocated inlet to 1.5m depth with insulated sleeve at transition,System ran continuously through winter at -12°C ambient,Neutral,Residential|Passive-Cooling|Cold-Climate,FL-ASHRAE-90.1-C,,,,CREATE_PIPE|MODIFY_DIMENSION,Medium
LL-027,CS-RES-011,Courtyard Microclimate Requires Shading Calculation,Sustainability,Courtyard stayed at 42°C; fountain provided negligible cooling,No solar-shading analysis done on courtyard surfaces,Added pergola with 60% shade factor; fountain surface area increased 3x,Courtyard peak temperature dropped 8°C to 34°C,Saved-10%,Residential|Commercial|Tropical|Desert,,,,,CREATE_COURTYARD|QUERY_ENERGY_EFFICIENCY,Medium
LL-028,CS-RES-012,Modular Module Width Must Be Confirmed Before Transport,Structural,Two modules exceeded 14ft-2in transport width; required disassembly at gate,Module width calculated from interior dimensions only; wall thickness omitted,Added wall-thickness allowance to every module width at 3D-model stage; re-checked in BIM,All 12 modules transported and craned in one day; zero delay,Saved-15%,Residential|Modular|Prefab,,,,,EXPORT_IFC|QUERY_CODE_COMPLIANCE,High
LL-029,CS-RES-012,Weather-Seal at Module Joints Must Be Double-Bead,Envelope,Single bead of butyl tape at module joint allowed 0.5mm gap; condensation inside wall,Spec called for single strip; vibration during transport compressed tape unevenly,Changed to double-bead butyl + compression gasket at every joint,Zero moisture intrusion at 6-month thermal-imaging check,Added-2%,Residential|Modular|Prefab,FL-ASHRAE-90.1-C,,,,CREATE_WALL|MODIFY_MATERIAL,High
LL-030,CS-RES-013,Enclosed Eaves Are the #1 Ember-Intrusion Point,Fire-Safety,Embers entered open soffit and ignited attic insulation in neighbour's fire,Standard open-soffit detail used in WUI zone,All eaves enclosed with fire-rated soffit board; vents screened with 1/16-in mesh,Passed WUI ember-intrusion test to ASTM E1557 equivalent,Added-5%,Residential|Commercial|WUI|Fire-Resistant,FL-NFPA-101-10.2,,,,CREATE_FLASHING|CREATE_ROOF|QUERY_FIRE_RATING,High
LL-031,CS-RES-013,Metal Roof Standing-Seam Requires Expansion Allowance,Flashing,Metal roof panel cracked at ridge after summer thermal expansion,Panels butted with no expansion gap at ridge detail,Ridge detail redesigned with 25mm expansion gap; CD-FL-EXP-JT-LEN confirmed,Zero panel cracking after 2 thermal cycles,Neutral,Residential|Commercial|Any-Metal-Roof,,CON-FL-010,CD-FL-EXP-JT-LEN,,CREATE_EXPANSION_JOINT|CREATE_FLASHING,High
LL-032,CS-RES-014,Cantilevered Retaining Walls Need Heel-Slab Drainage,Waterproofing,Hydrostatic pressure behind retaining wall exceeded design; wall cracked at base,No French-drain behind wall; soil stayed saturated,Added gravel-core French drain with 100mm perforated pipe; EPDM membrane on heel slab,Water table behind wall dropped 0.6m; crack sealed and no recurrence,Added-11%,Residential|Commercial|Hillside|Retaining-Wall,,CON-WP-003,CD-WP-SHEETS-QTY,,CREATE_WATERPROOFING|CREATE_FOUNDATION,High
LL-033,CS-RES-014,Below-Grade Wall Waterproofing Must Extend 300mm Above Grade,Waterproofing,Membrane terminated at grade level; splash-zone degradation after 2 years,Membrane terminated flush with finished ground; no termination bar,Extended membrane 300mm above grade; added aluminium termination bar with sealant,Zero splash-zone failure at 24-month inspection,Neutral,Residential|Commercial|Any-Below-Grade,,CON-WP-001,CD-WP-OVERLAP-LEN,,CREATE_WATERPROOFING|MODIFY_MATERIAL,High
LL-034,CS-RES-015,Lead Flashing on Conservation Buildings Has 50+ Year Life,Flashing,Previous copper flashing failed after 18 years; owner wanted longest life,Copper corrodes in micro-climate created by slate and lime mortar,Specified 2.4mm lead sheet to BS EN 1468; verified by CD-FL-SHEET-QTY,Lead flashing installed; manufacturer warranty 50 years; zero maintenance,Added-20%,Residential|Commercial|Conservation|Historic,,CON-FL-005,CD-FL-SHEET-QTY,,CREATE_FLASHING|MODIFY_MATERIAL,High
LL-035,CS-RES-015,Internal Insulation on Single-Leaf Brick Needs Vapour Check,Envelope,Condensation formed on brick inner face behind insulation within 6 months,No dew-point calculation performed; insulation placed directly on brick,Added vapour-barrier film on warm side; verified dew-point stays outside insulation,Zero condensation at 12-month thermal survey,Neutral,Residential|Commercial|Renovation|Masonry,FL-ASHRAE-90.1-C,,FL-RVALUE,,MODIFY_INSULATION|QUERY_R_VALUE,High
LL-036,CS-RES-016,CLT Fire-Rating Above 2 Stories Needs Sprinkler Redundancy,Fire-Safety,Building control required second independent sprinkler loop for CLT above story 2,Single sprinkler loop assumed; CLT combustibility rating not considered,Added second loop with independent water supply; full system to BS 9999,Passed fire-safety review without further conditions,Added-9%,Residential|Commercial|Institutional|CLT|Timber,FL-NFPA-101-10.2,,,,CREATE_SPRINKLER|QUERY_FIRE_RATING,High
LL-037,CS-RES-016,Acoustic Party Floors Need Resilient Layer + Mass,Acoustics,"Impact sound Ln,w measured at 62 dB; target was 50 dB",Only mineral-wool blanket specified; no resilient underlayer under screed,Added 6mm resilient rubber mat under 50mm cement screed; mineral wool above,"Impact Ln,w dropped to 48 dB; exceeds code requirement",Added-6%,Residential|Commercial|Multi-Storey|Flats,FL-IBC-420.2,MAT-FL-090,FL-STC-CHECK,ASSY-FLR-002,CREATE_FLOOR|MODIFY_ACOUSTIC_RATING,High
LL-038,CS-RES-017,Blocking Schedule Must Be a Standalone Drawing,Accessibility,Three of eight blocking locations missed because schedule was on notes sheet only,Blocking locations buried in general-notes drawing; framing crew did not receive it,Created standalone blocking-location drawing distributed to framing and inspectors,100% of blocking installed at first inspection; zero rework,Saved-20%,Residential|Any-Accessible|Healthcare,FL-ADA-302.1,,PL-ADA-SHWR,,CREATE_SHOWER|CREATE_SINK|MODIFY_DIMENSION,High
LL-039,CS-RES-017,Lever Door Handles Are ADA-Required in All Rooms,Accessibility,Round knobs installed by hardware sub; ADA requires lever or automatic,Hardware schedule not cross-checked against ADA lever requirement,All handles replaced with lever type before occupancy; schedule updated,ADA passed on first certificate-of-occupancy inspection,Added-4%,Residential|Commercial|Institutional|Accessible,FL-ADA-302.2,,,,MODIFY_DOOR_HARDWARE|QUERY_ACCESSIBILITY,High
LL-040,CS-RES-018,Elevated Structure Must Account for Wind on Understory,Structural,Elevated villa experienced 40% higher uplift than ground-level equivalent,Structural model assumed ground-level wind profile; elevation effect not modelled,Re-ran ASCE-7 wind analysis at 1.2m elevation; increased tie-down capacity 40%,Structure passed load test at design wind speed,Added-8%,Residential|Coastal|Tropical|Elevated,DR-IBC-007,,,,CREATE_FOUNDATION|QUERY_WIND_LOAD,High
LL-041,CS-RES-018,Rainwater Tank UV Exposure Degrades Standard PE,Plumbing,Outdoor PE tank turned brittle and cracked after 18 months of direct sun,Standard HDPE tank specified without UV-resistance grade,Replaced with UV-stabilised PE tank; relocated under shaded canopy,Tank at 3-year inspection: zero cracking; capacity maintained,Added-5%,Residential|Commercial|Tropical|Rainwater,PL-IPC-712.1,,PL-PIPE-SUPPLY,,CREATE_PIPE|MODIFY_MATERIAL,Medium
LL-042,CS-COM-001,Curtain-Wall Spandrel Thermal Bridge Needs Foam Core,Envelope,IR survey showed 0.6 kW/m² heat loss at every spandrel panel,Spandrel specified as solid aluminium; no insulation core,Replaced with foam-core spandrel panel; verified via FL-UVALUE,Heat loss at spandrel dropped 90%; ASHRAE 90.1 compliance achieved,Saved-7%,Commercial|Office|Any-Curtain-Wall,FL-ASHRAE-90.1-D,,FL-UVALUE,ASSY-EXT-010,CREATE_WALL|MODIFY_MATERIAL|QUERY_R_VALUE,High
LL-043,CS-COM-001,Base Isolation Anchorage Must Be Inspected Before Grout,Connection,Two isolation bearings shifted during pour; alignment was 12mm off,Grout poured before final bearing position was verified by engineer,Added mandatory engineer sign-off on bearing position before any grout,Zero bearing misalignment; seismic performance confirmed by analysis,Saved-30%,Commercial|Institutional|Seismic,STL-AISC-J3.5,CON-STL-014,CD-STL-BP-THICK,,CREATE_CONNECTION|CREATE_FOUNDATION,High
LL-044,CS-COM-002,TPO Parapet Cap Must Be Counter-Flashed Into Wall,Flashing,Water pooled behind parapet cap; wall cavity flooded in first storm,Cap terminated with single silicone bead; no counter-flash into wall,Counter-flash inserted 75mm into wall cavity behind cap; sealant re-applied,Zero water intrusion at 12-month inspection,Neutral,Commercial|Residential|Any-Parapet,,CON-FL-015,CD-FL-WIN-PERIM,,CREATE_FLASHING|CREATE_ROOF,High
LL-045,CS-COM-002,Sprinkler Head Clearance Must Be 450mm From Ceiling,Fire-Safety,Eight heads mounted at 300mm; fire marshal required removal and re-install,Ceiling height changed late; sprinkler rough-in stayed at original height,All heads re-piped to 450mm clearance; NFPA 13 spacing confirmed,Fire-marshal sign-off on first inspection,Added-8%,Commercial|Residential|Institutional|Any-Sprinkler,STL-NFPA-13-7.3,,,,CREATE_SPRINKLER|MODIFY_DIMENSION,High
LL-046,CS-COM-003,Pressurised Corridor Requires Sealed Door Gaskets,MEP,Infection-control pressure differential measured at only 1.2 Pa; target 2.5 Pa,Doors lacked compression gaskets; air leaked around every frame,Gasketed frames installed on all corridor doors; pressure re-tested,2.8 Pa differential achieved; FGI infection-control requirement exceeded,Added-4%,Commercial|Institutional|Healthcare,DR-IBC-014,,,,CREATE_DOOR|MODIFY_DOOR_HARDWARE|QUERY_VENTILATION,High
LL-047,CS-COM-003,Low-Flow Fixtures Reduce Peak-Demand Water Heater Size,Plumbing,Initial 120-gallon water heater oversized by 40% due to peak-demand miscalculation,All fixtures assumed at max-flow GPM; low-flow fixture data not used,Recalculated using actual GPF from PL-FU-SINGLE; downsized to 80-gallon,Water heater cost reduced 35%; energy saving 12% annually,Saved-35%,Commercial|Residential|Healthcare|Any-Plumbing,PL-IPC-712.2,,PL-HEATER-SIZE|PL-FU-TOTAL,,CREATE_WATER_HEATER|QUERY_FIXTURE_UNITS,High
LL-048,CS-COM-004,ESFR Sprinkler Requires 3.7m Minimum Clearance to Deck,Fire-Safety,Mezzanine steel deck installed at 3.2m; ESFR heads within exclusion zone,Mezzanine height set before sprinkler type was confirmed,Raised mezzanine deck to 3.7m; ESFR heads verified at design gpm,Factory-mutual inspection passed; no re-design required,Added-6%,Commercial|Industrial|Warehouse,STL-NFPA-13-7.3,,,,CREATE_BEAM|CREATE_SPRINKLER,High
LL-049,CS-COM-004,Mezzanine-to-PEB-Frame Weld Must Be Engineered Joint,Connection,Mezzanine beams field-welded to PEB columns without engineered detail,Fabricator assumed fillet weld; PEB column flange required reinforcement plate,Engineered weld detail with gusset plate; fabricated off-site to AWS D1.1,Joint capacity 20% above demand; no field-weld rework,Saved-15%,Commercial|Industrial|Any-Mezzanine,STL-AWS-D1.1-3.1,CON-STL-015,CD-STL-WELD-CAP,,CREATE_CONNECTION|CREATE_BEAM,High
LL-050,CS-COM-005,Post-Tensioned Slab Tendon Routing Must Clear Reinforcement,Structural,Three tendons fouled by rebar cage; required re-routing and pour delay,Tendon routing drawing not coordinated with rebar shop drawings,BIM clash-detection run at design stage; tendon and rebar routed together,Zero conflicts during pour; schedule maintained,Saved-12%,Commercial|Institutional|Parking|Any-PT-Slab,STL-ACI-318-20.3,,CD-STL-BP-AREA,,CREATE_BEAM|EXPORT_IFC,High
LL-051,CS-COM-005,Car-Park Roof Waterproofing Must Include Traffic-Wear Course,Waterproofing,Membrane damaged by tyre abrasion within 3 months of opening,Traffic deck finished with only aggregate-surfaced membrane; no wear course,Added 12mm polyurethane wear course over membrane; anti-slip aggregate embedded,Zero membrane damage at 24-month inspection; design life 30 years,Added-10%,Commercial|Institutional|Any-Parking-Roof,,CON-WP-002,CD-WP-AREA,,CREATE_WATERPROOFING|MODIFY_MATERIAL,High
LL-052,CS-COM-006,Concealed Sprinkler Heads Need False-Ceiling Coordination,Fire-Safety,Four heads in finished ceilings missed ceiling-tile grid; tiles had to be cut,Sprinkler rough-in done before false-ceiling grid was set out,Ceiling-grid and sprinkler positions co-ordinated in BIM; shop-drawing overlay done,All heads land in tile centres; zero cutting required,Saved-10%,Commercial|Hospitality|Institutional|Any-False-Ceiling,STL-NFPA-13-7.3,,,,CREATE_SPRINKLER|CREATE_CEILING,High
LL-053,CS-COM-006,Hotel Room Acoustic Separation Needs Flanking Path Check,Acoustics,STC 52 achieved at party wall but impact sound transmitted via concrete floor slab,Acoustic calculation considered wall only; flanking via slab not modelled,Added resilient strip at wall-slab junction; flanking calculation confirmed STC 52 system,Measured Rw 53 dB including flanking; guest complaints eliminated,Added-3%,Commercial|Residential|Hospitality|Multi-Storey,FL-IBC-420.2,,FL-STC-CHECK,,CREATE_WALL|MODIFY_ACOUSTIC_RATING,High
LL-054,CS-COM-007,Slab Control Joints Must Be Cut Within 24 Hours of Pour,Structural,Expansion joint covers installed but slab cracked randomly between them,Control-joint sawing delayed 48 hours; thermal stress caused random cracking,Joints saw-cut at 18 hours post-pour; sealed with polyurethane sealant,Zero random cracks at 6-month inspection; joint pattern as designed,Saved-22%,Commercial|Industrial|Any-Concrete-Slab,STL-ACI-318-20.4,,,,CREATE_EXPANSION_JOINT|CREATE_SLAB,High
LL-055,CS-COM-007,Dock Leveller Weather Seal Must Be Replaced Annually,Flashing,Water pooled on dock slab during winter; slip-hazard and freeze damage,Dock-door weather seal was original unit; never replaced after 5 years,Seal replaced annually; slope added to dock slab 1% to door threshold,Zero water ponding; dock slab dry within 1 hour of rain,Added-2%,Commercial|Industrial|Any-Loading-Dock,,,,,CREATE_DOOR|CREATE_FLASHING,Medium
LL-056,CS-COM-008,Raised-Floor Grid Must Be Surveyed Before Partition Layout,Structural,Six partition walls fell between floor-tile supports; required structural re-design,Partition layout done from architectural plan; actual raised-floor grid not surveyed,Floor grid surveyed and overlaid on partition plan; walls moved to grid lines,All walls supported; zero structural re-design,Saved-18%,Commercial|Office|Any-Raised-Floor,DR-IBC-001,,,,CREATE_WALL|MODIFY_DIMENSION,High
LL-057,CS-COM-008,Demountable Partition Acoustic Rating Needs Gasketed Frame,Acoustics,Open-office STC measured at 32; meeting-room target was STC 45,Demountable partition installed with standard frame; no gasket or seal,Replaced with acoustic-rated partition with compression gaskets at floor and ceiling,STC measured at 46; meeting-room privacy achieved,Added-8%,Commercial|Office|Any-Meeting-Room,FL-IBC-420.2,,FL-STC-CHECK,,CREATE_WALL|MODIFY_ACOUSTIC_RATING,High
LL-058,CS-COM-009,Epoxy Floor Anti-Slip Rating Must Be R12 Minimum for Kitchens,Flooring,Three slip incidents in first month; epoxy was smooth R9 finish,Epoxy spec chosen for aesthetics; slip-resistance grade not specified,Re-coated with R12 anti-slip epoxy; broadcast aggregate at 40% coverage,Zero slip incidents after re-coat; health-code passed,Added-12%,Commercial|Food-Service|Industrial,FL-ASTM-F1292,MAT-FL-145,,,MODIFY_FLOOR_TYPE|QUERY_CODE_COMPLIANCE,High
LL-059,CS-COM-009,Grease-Trap Sizing Must Use Peak-Hour Flow,Plumbing,Grease trap overflowed during lunch rush; sized for average daily flow,Trap sized at 20 GPM; peak lunch-hour output was 48 GPM,Re-sized to 50 GPM unit; flow calculation used peak-hour assumption,Trap handled full lunch service; zero overflow,Added-15%,Commercial|Food-Service|Industrial,PL-IPC-712.3,,PL-FLOW-DAILY,,CREATE_PIPE|QUERY_PIPE_SIZE,High
LL-060,CS-COM-010,Data-Centre Cable Tray Seals Prevent Air Bypass,MEP,Cold-aisle temperature rose 8°C; hot air recirculating through cable slots,Cable trays in raised floor were left unsealed; air bypassed containment,All cable slots sealed with fire-rated foam; air-tightness tested,Cold-aisle temperature dropped to design 18°C; cooling efficiency up 20%,Saved-20%,Commercial|Technology|Data-Centre,DR-IBC-014,,,,CREATE_PIPE|CREATE_DUCTWORK|QUERY_VENTILATION,High
