ProjectId,ProjectName,Category,SubCategory,Region,Year,FloorArea_M2,Stories,StructureType,FoundationType,WallSystems,RoofType,KeyFeatures,Codes_Applied,Challenges,Solutions,CostPerM2_USD,SustainabilityRating,AIIntents_Used,AIEntities_Used,Description
CS-RES-011,Desert Passive-Cooling House,Residential,Passive-Cooling,UAE,2023,450,2,Concrete-Block,Raft-Foundation,Exterior 200mm Concrete + 80mm EPS|Thermal Mass|Small Windows North,Flat Roof Insulated 12-Inch,Night-ventilation strategy|Thermal mass walls|Courtyard with fountain|Earth-tube cooling,UAE Building Code|ASHRAE 90.1|Local Municipality,Extreme heat 50°C|Solar gain minimisation|Dust storm protection,Courtyard microclimate reduces indoor temperature 8°C|Earth tubes pre-cool intake air,360,LEED-Silver,CREATE_ROOM|MODIFY_INSULATION|QUERY_HVAC_LOAD|CREATE_WINDOW_TYPED,thermal mass|concrete|courtyard|insulation|earth tube,"Desert passive-cooling villa using thermal-mass walls, earth-tube pre-cooling, and courtyard microclimate."
CS-RES-012,Modular Off-Site Manufactured Home,Residential,Modular,USA,2023,195,2,Wood-Frame-Modular,Concrete-Pier,Factory SIPs Modules|Bolted Connections On-Site|Insulated Skirting,Pitched Gable 5:12,12 modules pre-built|On-site assembly 5 days|BIM-to-fabrication workflow,IRC 2021|HUD Code|State Modular,Module transport width limits (14ft)|Crane access on narrow lot|Weather-seal joints,Optimised 14ft-2in module width|Temporary crane pad engineered|Butyl tape + compression seals,220,Green-Star-2,CREATE_CONNECTION|CREATE_WALL|EXPORT_IFC|QUERY_CODE_COMPLIANCE,modular|bolt|connection|SIPs|code compliance,Factory-built modular home assembled on-site in five days with BIM-to-fabrication workflow and IFC export.
CS-RES-013,Fire-Resistant Wildfire-Zone Home,Residential,Fire-Resistant,USA,2022,350,2,Steel-Frame,Concrete-Slab,Non-Combustible Fiber-Cement|Steel Studs|Metal Roof,Hip Roof Metal Standing-Seam,Class-A roof and walls|Enclosed eaves|Non-combustible decking|Fire-resistant landscaping,IBC 2021|California Fire Code|WUI Standards,WUI wildland-urban interface zone|Ember intrusion at vents|Radiant-heat exposure,All vents screened with 1/16in mesh|Metal soffits|Concrete foundation wall to 6ft,480,LEED-Gold,CREATE_FLASHING|QUERY_FIRE_RATING|MODIFY_ROOF_MATERIAL|CREATE_SMOKE_DETECTOR,fire rating|metal roof|fiber cement|smoke detector|vent boot,"WUI wildfire-resistant home with Class-A envelope, enclosed eaves, and ember-proof ventilation."
CS-RES-014,Hillside Retaining-Wall House,Residential,Hillside,USA,2021,290,3,Wood-Frame|Concrete-Below,Concrete-Wall,Concrete Retaining Walls Below|Wood Frame Above|Waterproof Basement,Pitched Gable 6:12,Concrete retaining walls 2m height|Hillside walkout basement|Drainage plane|French drain,IBC 2021|IRC 2021|Geotechnical Report,8ft concrete retaining walls|Soil pressure 400 psf lateral|Waterproofing below grade,Cantilevered retaining walls with 12in concrete|Full EPDM waterproofing|Drain board + French drain,370,Green-Star-2,CREATE_WATERPROOFING|CREATE_FLASHING|QUERY_CAPACITY|CREATE_FOUNDATION,retaining wall|EPDM|drain board|foundation|concrete,Hillside three-level home with 2m cantilevered concrete retaining walls and full below-grade waterproofing.
CS-RES-015,Victorian House Full Renovation,Residential,Renovation,UK,2023,220,3,Existing-Masonry,Existing-Brick,Original Brick Facade|New Internal Insulation 50mm|Sash Window Restoration,Original Slate Pitched 7:12 + Lead Flashing,Sash windows restored to original|Lead flashing replaced|Combi boiler|Smart-home integration,Building Regs 2021|Conservation Area|Lead-sheet BS EN 1468,Conservation-area constraints|Single-leaf brick thermal upgrade|Lead-sheet flashing life-cycle,Internal PIR insulation with vapour barrier|New lead flashing to BS EN 1468|Mechanical-limed plaster over insulation,510,EPC-D,CREATE_FLASHING|MODIFY_MATERIAL|MODIFY_WINDOW_GLAZING|QUERY_CODE_COMPLIANCE,lead flashing|sash window|insulation|conservation|lead sheet,Full renovation of a Victorian terraced house preserving sash windows and replacing lead flashing to code.
CS-RES-016,Zero-Carbon Social-Housing Block,Residential,Social-Housing,UK,2023,1200,4,Timber-CLT,Concrete-Raft,CLT Panels|Sprayed Foam R-30|Aluminium-Clad Windows,Flat Green Roof Sedum,22 units|Communal heat pump|Solar panels 40 kW|MVHR per unit|Rainwater harvesting,Building Regs 2021|BREEAM|Passive-House-As-Delivered|BS 9999,Fire-safety for CLT above 2 stories|Acoustic separation between flats|Thermal bridging at CLT junctions,Sprayed membrane on all CLT edges|Acoustic-grade party floors STC 56|Insulated concrete edge beams,310,BREEAM-Outstanding,CREATE_WALL|MODIFY_ACOUSTIC_RATING|CREATE_ROOF|QUERY_FIRE_RATING|EXPORT_IFC,CLT|party wall|STC|green roof|acoustic|fire rating,Four-storey CLT social-housing block achieving BREEAM Outstanding with communal heat pump and 40 kW PV.
CS-RES-017,Accessible Ageing-In-Place Home,Residential,Accessible,USA,2022,250,1,Wood-Frame,Slab-on-Grade,Exterior 2x6|Wide Doorways 900mm|Blocking in Wet Walls,Pitched Gable 5:12,Lever handles throughout|Zero-step shower|Blocking for future grab bars|Single-storey|Smart-lighting,ADA 2010|Fair Housing|IRC 2021,Future-proofing for mobility aids|Blocking concealment during framing,Blocking schedule drawn and inspected at framing|36in doorways all interior|Shower with built-in seat,320,Green-Star-2,CREATE_SHOWER|CREATE_DOOR_TYPED|QUERY_ACCESSIBILITY|MODIFY_DOOR_HARDWARE,accessible|shower|lever handle|blocking|ADA|zero-step,"Single-storey ageing-in-place home with ADA features, lever handles, and concealed blocking for future grab bars."
CS-RES-018,Tropical Rainwater-Harvesting House,Residential,Tropical,Singapore,2022,280,2,Reinforced-Concrete,Pile-Cap,Concrete Walls|Louvred Ventilation|Rainwater Roof Catchment,Pitched Gable 5:12 Metal,15000L rainwater tank|Natural ventilation louvers|Elevated structure|Green-wall facade,Singapore Building Code|SS 345|Local Env Agency,High humidity condensation|Flood-risk ground level|Pest-proof ventilation,Elevated 1.2m on piles|Ventilation louvers with insect mesh|UV-resistant PE tank,400,Green-Mark-Platinum,CREATE_PIPE|CREATE_WATERPROOFING|QUERY_VENTILATION|CREATE_FOUNDATION,rainwater|pipe|ventilation|pile foundation|tropical|louvre,Tropical home elevated on piles with 15 000-litre rainwater harvesting and natural-ventilation louvers.
CS-COM-001,5-Storey Glass-Curtain-Wall Office,Commercial,Office,USA,2023,4500,5,Steel-Frame,Concrete-Mat,Steel Moment Frame|Curtain Wall Unitised|Interior Steel Studs,Flat Roof TPO,Curtain-wall unitised system|Open-plan floor plates|Raised access floor|Rooftop plant room,IBC 2021|ASHRAE 90.1|ASCE 7-22,Wind uplift on curtain wall 4.2 kPa|Seismic drift limit L/200|Thermal bridging at spandrel,Engineered mullion anchors at 2400mm grid|Base isolation at grade|Spandrel with foam core + IR film,520,LEED-Gold,CREATE_WALL|CREATE_CONNECTION|QUERY_WIND_LOAD|CREATE_WATERPROOFING,curtain wall|moment frame|wind load|TPO membrane|spandrel,"Five-storey steel-frame office with unitised curtain wall, base isolation, and TPO waterproofed flat roof."
CS-COM-002,Retail Shopping Centre Ground Floor,Commercial,Retail,USA,2022,3200,1,Steel-Frame,Concrete-Slab,Tilt-Up Concrete Panels|Steel Frame|Skylights 3%|Drop Ceiling,Flat Roof TPO + Metal Parapet,8 retail units|Loading dock|Sprinkler system|Parapet cap flashing,IBC 2021|NFPA 13|Fire Code,Flat-roof ponding water|Sprinkler-system design 0.15 gpm/sqft|Parapet wind uplift,1.5% roof slope to interior drain|Full sprinkler with fire-alarm integration|Coping cap with counter flashing,280,LEED-Silver,CREATE_FLASHING|CREATE_SPRINKLER|QUERY_FIRE_RATING|CREATE_ROOF,parapet cap|coping|sprinkler|TPO|fire rating|retail,"Single-storey steel-frame retail centre with tilt-up concrete, full sprinkler system, and parapet flashing."
CS-COM-003,Medical Clinic Single-Storey,Commercial,Healthcare,USA,2023,1800,1,Steel-Frame,Concrete-Slab,Exterior Steel + Brick Veneer|Interior Washable Panels|Sealed Floors,Flat Roof TPO + Green Section,Infection-control zones|Washable surfaces|Pressurised corridors|Accessible bathrooms,IBC 2021|NFPA 101|FGI Guidelines|ADA 2010,Infection-control airflow separation|Plumbing fixture-unit peak demand|ADA in all clinical areas,Pressurised corridor to treatment rooms|Low-flow fixtures throughout|Continuous blocking for grab bars,480,Green-Star-3,CREATE_SINK|CREATE_SHOWER|QUERY_ACCESSIBILITY|QUERY_VENTILATION|QUERY_FIXTURE_UNITS,sink|accessible|fixture units|infection control|washable|ventilation,"Single-storey medical clinic with infection-control zoning, pressurised corridors, and full ADA compliance."
CS-COM-004,Warehouse with Mezzanine,Commercial,Industrial,USA,2022,6000,1,Steel-PEB,Concrete-Slab-6in,Metal-Deck Walls|Steel Mezzanine 40%|Insulated Metal Panel,Pitched Gable Metal 3:12,Pre-engineered steel building|40% mezzanine floor|Sprinkler ESFR|LED lighting 0.5 W/sqft,IBC 2021|NFPA 13|Factory Mutual|Fire Marshal,ESFR sprinkler system selection|Mezzanine structural connection to PEB frame|Slab flatness FF 35,Mezzanine beams welded to main PEB columns|ESFR design at 1.2 gpm/sqft|Laser-levelled slab,160,LEED-Silver,CREATE_BEAM|CREATE_CONNECTION|CREATE_SPRINKLER|QUERY_CAPACITY,mezzanine|steel beam|sprinkler|ESFR|warehouse|welded connection,6 000 m² pre-engineered steel warehouse with 40% mezzanine and ESFR sprinkler system.
CS-COM-005,Multi-Storey Car Park,Commercial,Parking,USA,2021,8000,4,Precast-Concrete,Concrete-Pad,Precast Concrete Panels|Post-Tensioned Slabs|Open Stairwells,Flat Roof Exposed Concrete,Precast-panel-to-panel connections|Post-tensioned slab 200mm|Open fire stairs|Drainage waterproofing,IBC 2021|ACI 318|PCI Design Handbook,Post-tension tendon routing|Open-air fire-stair classification|Roof waterproofing high-traffic,Grouted sleeve connections with shear pins|Epoxy-coated tendons|Sheet membrane + wear course,200,N/A,CREATE_CONNECTION|CREATE_WATERPROOFING|CREATE_PIPE|QUERY_CAPACITY,precast|post-tension|sheet membrane|wear course|parking|concrete,Four-storey precast concrete car park with post-tensioned slabs and waterproofed roof deck.
CS-COM-006,Hotel Boutique 4-Storey,Commercial,Hospitality,UK,2023,2800,4,Steel-Frame,Concrete-Pile,Brick Veneer Facade|Curtain Wall Entrance|Fire-Rated Partitions|Sprinkler All Floors,Flat Roof Waterproof Membrane,32 rooms|1hr fire-rated partitions|Sprinkler throughout|Restaurant ground floor|Plant room rooftop,Building Regs 2021|BS 9999|BS 7974|CIBSE,Fire separation between guest floors|Acoustic between rooms STC 52|Sprinkler concealed heads in finished ceilings,60-min fire-rated wall/floor assemblies|Rockwool SLab between floors|Concealed sprinklers in false ceiling,550,BREEAM-Very-Good,CREATE_WALL|CREATE_SPRINKLER|MODIFY_ACOUSTIC_RATING|QUERY_FIRE_RATING,fire door|fire wall|sprinkler|party wall|STC|acoustic,"Four-storey boutique hotel with 1-hour fire-rated partitions, concealed sprinklers, and STC-52 party walls."
CS-COM-007,Supermarket Warehouse Loading Dock,Commercial,Industrial,USA,2022,4200,1,Steel-Tilt-Up,Concrete-Slab-8in,Tilt-Up Concrete 200mm|Steel Frame|Dock Levellers × 6|Expansion Joints,Flat Roof TPO,6 loading docks|Expansion joints every 30m|Concrete slab 8in|Sprinkler ESFR,IBC 2021|NFPA 13|FM Global|ACI 318,Slab-crack control joints spacing|Dock-door weather seal|Thermal expansion in 30m bay,Expansion joint covers at 30m intervals|Foam-seal + compression header|Control joints at 4.5m grid,170,N/A,CREATE_EXPANSION_JOINT|CREATE_FLASHING|CREATE_SPRINKLER|QUERY_CODE_COMPLIANCE,expansion joint|dock|TPO|sprinkler|slab|tilt-up,"4 200 m² tilt-up supermarket warehouse with six loading docks, 30 m expansion joints, and ESFR sprinkler."
CS-COM-008,Office Fit-Out With New Partitions,Commercial,Office-Fitout,USA,2023,900,1,Existing-Steel,Existing-Concrete,New Demountable Glass Partitions|Raised Access Floor|Modular Ceiling|New MEP Branches,Existing-Flat-Roof,Modular glass partition system|Raised-floor power+data|Plug-and-play MEP|Acoustic-rated meeting rooms STC 45,IBC 2021|ASHRAE 62.1|ADA 2010,Acoustic separation of meeting rooms|Raised-floor grid alignment|ADA-compliant restrooms,Acoustic-rated partition with STC 45 and gasketed frames|Floor grid surveyed and aligned|Restrooms to ADA 2010,240,LEED-Silver,CREATE_WALL|MODIFY_ACOUSTIC_RATING|CREATE_OUTLET|QUERY_VENTILATION,glass partition|raised floor|acoustic|outlet|STC|demountable,"Office fit-out with demountable glass partitions, acoustic-rated meeting rooms, and raised-floor power distribution."
CS-COM-009,Restaurant Kitchen Waterproofing,Commercial,Food-Service,USA,2022,180,1,Steel-Frame,Concrete-Slab,Tiled Walls|Epoxy Floor|Waterproof Membrane Under Tile|Grease Trap Plumbing,Existing-Flat-Roof,Commercial kitchen waterproofing|Epoxy-coated floor|Grease-trap plumbing|Hood exhaust ductwork,IBC 2021|Health Code|NFPA 96|NSF,Epoxy floor slip-resistance in wet kitchen|Waterproof under tile to contain grease spill|Grease-trap sizing,Anti-slip epoxy with R12 rating|Full liquid membrane under tile|Grease trap at 3-compartment sink,380,N/A,CREATE_WATERPROOFING|CREATE_PIPE|CREATE_DUCTWORK|MODIFY_FLOOR_TYPE,epoxy floor|liquid membrane|grease trap|ductwork|waterproofing|food service,"Commercial restaurant kitchen with anti-slip epoxy floor, waterproof membrane under tile, and grease-trap plumbing."
CS-COM-010,Data Centre Cooling Fit-Out,Commercial,Technology,USA,2023,600,1,Steel-Frame,Concrete-Slab-12in,Raised Access Floor 450mm|Acoustic-Rated Walls|UPS Room Separation,Flat Roof R-30 Insulated,Hot-aisle/cold-aisle containment|CRAC units × 4|UPS isolated room|Generator backup|Raised floor 450mm,IBC 2021|TIA-942|Uptime-Institute|ASHRAE TC 9.9,Cooling redundancy N+1|Floor vibration <0.5mm|Sealed cable routes to prevent air bypass,Raised floor 450mm with perforated tiles|Sealed cable trays in floor void|Separate UPS room with 2hr fire rating,720,N/A,CREATE_ROOM|CREATE_WALL|QUERY_FIRE_RATING|CREATE_DUCTWORK|MODIFY_DIMENSION,raised floor|UPS|fire rating|CRAC|data centre|acoustic,"Single-storey data centre fit-out with 450mm raised floor, hot/cold-aisle containment, and N+1 cooling redundancy."
CS-COM-011,School Assembly Hall,Commercial,Education,UK,2023,1400,1,Steel-Portal-Frame,Concrete-Slab,Steel Portal Frame|Acoustic Ceiling|Acoustic Wall Lining|Sprinkler,Pitched Gable Metal 5:12,500-person capacity|Acoustic reverberation 1.2s|Sprinkler concealed|Natural ventilation louvre system,Building Regs 2021|BB100 Acoustics|BS 9999|CIBSE,Acoustic reverberation target 1.2s|Natural-ventilation noise limit|Fire-escape travel distance,Suspended acoustic ceiling 50mm mineral wool|Louvre with acoustic baffles|Fire exits at 30m max travel,340,BREEAM-Very-Good,CREATE_WALL|CREATE_FLASHING|QUERY_VENTILATION|CREATE_SMOKE_DETECTOR,acoustic|assembly|portal frame|ventilation|louvre|sprinkler,Steel-portal-frame school assembly hall with 1.2-second reverberation and natural-ventilation acoustic louvres.
CS-COM-012,Gym & Sports Centre,Commercial,Sports,USA,2022,2200,1,Steel-Frame,Concrete-Slab-6in,Polished-Concrete|Rubber Floor Sports|Exposed Steel|High-Bay Lighting,Pitched Gable Metal 5:12,High-bay LED 500 lux|Rubber-floor sports courts|Polished concrete lobby|Sprinkler FM-Global,IBC 2021|NFPA 13|ASTM F1292,Rubber-floor impact rating ASTM F1292|High-bay lighting uniformity 0.7|Sprinkler clearance 3.7m,Elastomeric rubber at 12mm impact-absorbing|High-bay LED at 5m grid 0.8 uniformity|Concealed sprinkler at 3.7m,260,LEED-Silver,CREATE_LIGHTING|MODIFY_FLOOR_TYPE|CREATE_SPRINKLER|QUERY_LIGHTING_LEVEL,rubber floor|high-bay|sports|sprinkler|LED|polished concrete,"Single-storey steel-frame sports centre with ASTM-rated rubber courts, high-bay LED, and FM-Global sprinkler."
CS-COM-013,Commercial Kitchen Plumbing Sizing,Commercial,Food-Service,USA,2023,220,1,Steel-Frame,Concrete-Slab,Commercial Kitchen|3-Comp Sink|Grease Trap|Ice Machine|Dishwasher,Existing-Flat-Roof,Peak-demand plumbing sizing|Grease trap at 50 GPM|3-compartment sink|Fixture-unit total 42 FU,IPC 2021|NSF 3|Health Code|IBC 2021,Peak-demand hot-water calculation|Grease-trap sizing at 50 GPM|Vent-pipe sizing for 42 FU,Water heater 100-gallon commercial gas|2.5in DWV main for 42 FU|Grease trap 50 GPM with oil separator,420,N/A,CREATE_PIPE|QUERY_FIXTURE_UNITS|QUERY_PIPE_SIZE|CREATE_WATER_HEATER,fixture units|pipe size|grease trap|water heater|3-compartment sink|DWV,"Commercial kitchen with 42 FU plumbing sizing, 50 GPM grease trap, and 100-gallon gas water heater."
CS-COM-014,Airport Terminal Expansion Wing,Commercial,Transportation,USA,2022,12000,1,Steel-Long-Span,Concrete-Caisson,Steel-Truss Long-Span 60m|Curtain Wall|Expansion Joints Every 25m|Roof Skylights,Pitched Metal 3:12 + Skylights,60m clear-span steel trusses|Skylights 8% glazing|Expansion joints 25m|Wayfinding lighting|Jet-bridge connections,IBC 2021|FAA|ASCE 7-22|ASHRAE 62.1,60m span deflection control L/360|Expansion-joint movement 150mm|Seismic connection at jet bridge,Box-truss with tuned mass damper|Expansion joints with foam seal + 150mm travel cover|Isolator bearing at jet bridges,580,LEED-Gold,CREATE_BEAM|CREATE_EXPANSION_JOINT|CREATE_FLASHING|CREATE_WINDOW_TYPED|QUERY_CAPACITY,long-span|truss|expansion joint|skylight|curtain wall|caisson,"Airport terminal expansion wing with 60 m clear-span steel trusses, 150 mm expansion joints, and 8% skylight glazing."
CS-INS-001,Primary School Building,Institutional,Education,UK,2023,2600,2,Steel-Frame,Concrete-Raft,Brick Veneer|Steel Frame|Acoustic Partitions|Sprinkler All,Pitched Sedum-Green 4:12,250 pupils|Acoustic classrooms RT 0.6s|Sprinkler throughout|Accessible throughout|Sedum roof,Building Regs 2021|BB100|BS 9999|DfE Standards,Classroom acoustics RT 0.6s|Accessible for 250 pupils|Fire-escape in 2.5 min|Outdoor-play drainage,Acoustic ceiling with T-bar 40mm wool|All classrooms accessible with 900mm doors|Sprinkler + alarm integration,380,BREEAM-Outstanding,CREATE_WALL|CREATE_DOOR_TYPED|CREATE_SMOKE_DETECTOR|QUERY_VENTILATION|QUERY_ACCESSIBILITY,classroom|acoustic|accessible|sprinkler|sedum|fire escape,"Two-storey BREEAM-Outstanding primary school with acoustic classrooms, sedum roof, and full accessibility."
CS-INS-002,University Research Laboratory,Institutional,Education,USA,2023,3200,3,Reinforced-Concrete,Mat-Foundation,Lab-Grade Walls|Fume-Hood Exhaust|Clean-Room Zone|Sprinkler ESFR|Epoxy Floors,Flat Roof Membrane + PV,Fume-hood exhaust 10 ACH|Clean-room ISO 7|Spill-containment floor|Chemical storage|Lab-grade plumbing,IBC 2021|NFPA 30|ASHRAE 62.1|Lab-Safety Standards,Fume-hood exhaust at 10 ACH|Chemical-spill containment|Clean-room air changes 15 ACH,Dedicated exhaust duct per hood|Epoxy floor with 100mm raised sill|HEPA-filtered clean room supply,620,LEED-Gold,CREATE_DUCTWORK|CREATE_PIPE|MODIFY_FLOOR_TYPE|QUERY_VENTILATION|CREATE_WATERPROOFING,fume hood|clean room|epoxy floor|exhaust duct|spill containment|laboratory,"Three-storey university research lab with fume-hood exhaust, clean-room ISO 7, and chemical-spill-containment floors."
CS-INS-003,Hospital Trauma Wing,Institutional,Healthcare,USA,2022,5400,2,Reinforced-Concrete,Pile-Cap,Concrete Shear Walls|Infection-Control Zones|HEPA-Filtered Supply|Pressurised Corridors,Flat Roof R-35,48 trauma bays|Pressurised corridor 2.5 Pa|HEPA supply to ORs|Medical gas piping|Antimicrobial surfaces,FGI 2022|IBC 2021|NFPA 99|ASHRAE 62.1-Healthcare,Infection-control pressure boundaries|Medical gas system sizing|Seismic essential-facility classification,Pressure-differential zones with airlock entries|Modular medical-gas manifold|Post-tensioned slab for seismic-essential,780,LEED-Gold,CREATE_PIPE|CREATE_DUCTWORK|CREATE_WALL|QUERY_VENTILATION|QUERY_ACCESSIBILITY,pressurised corridor|HEPA|medical gas|infection control|shear wall|seismic,"Hospital trauma wing with pressurised infection-control corridors, HEPA-filtered operating rooms, and medical-gas piping."
